,Ticker,Company
1,ADBE,Adobe Systems Inc.
2,ADSK,Autodesk Inc.
3,AKAM,Akamai Technologies
4,ALXN,Alexion Pharm Inc.
5,AMD,Adv Micro Devices
6,AMZN,Amazon.Com Inc.
7,AN,Autonation Inc.
8,AZO,Autozone
9,BIIB,Biogen Inc.
10,BRK.B,Berkshire Hath Hld B
11,BSX,Boston Scientific Corp.
12,CBG,CBRE Group Inc.
13,CELG,Celgene Corp.
14,CERN,Cerner Corp.
15,CHK,Chesapeake Energy Corp.
16,CHTR,Charter Communicatio
17,CMG,Chipotle Mexican Grill
18,CNC,Centene Corp.
19,CRM,Salesforce.Com Inc.
20,CTXS,Citrix Systems Inc.
21,CXO,Concho Resources Inc.
22,DISCA,Discovery Comm A
23,DISCK,Discovery Comm Inc.
24,DISH,Dish Network Corp.
25,DLTR,Dollar Tree Inc.
26,DVA,Davita Healthcare Partners Inc.
27,EA,Electronic Arts Inc.
28,EBAY,Ebay Inc.
29,ESRX,Express Scripts
30,ETFC,E*Trade Finl Corp.
31,EVHC,Envision Healthcare Holdings
32,EW,Edwards Lifesciences Corp.
33,FB,Facebook Inc.
34,FCX,Freeport-Mcmoran Inc.
35,FFIV,F5 Networks Inc.
36,FISV,Fiserv Inc.
37,FTI,Technipfmc Plc
38,GOOG,Alphabet Class C
39,GOOGL,Alphabet Class A
40,HCA,Hca Holdings Inc.
41,HOLX,Hologic Inc.
42,HSIC,Henry Schein Inc.
43,IDXX,Idexx Laboratories
44,ILMN,Illumina Inc.
45,INCY,Incyte Corporation
46,ISRG,Intuitive Surg Inc.
47,IT,Gartner Inc.
48,KMX,Carmax Inc.
49,KORS,Michael Kors Holdings Ltd
50,LH,Laboratory Corporation of America Holdings
51,LKQ,LKQ Corp.
52,LVLT,Level 3 Communications
53,MHK,Mohawk Industries
54,MNK,Mallinckrodt Plc Ordinary Share
55,MNST,Monster Beverage Cp
56,MTD,Mettler-Toledo International
57,MU,Micron Technology
58,MYL,Mylan Nv Ord Shs
59,NFLX,Netflix Inc.
60,NFX,Newfield Exploration Company
61,ORLY,O'Reilly Automotive
62,PCLN,Priceline Group
63,PWR,Quanta Services
64,PYPL,Paypal Holdings
65,QRVO,Qorvo Inc.
66,REGN,Regeneron Pharmaceutical
67,RHT,Red Hat Inc.
68,RIG,Transocean Inc.
69,SNPS,Synopsys Inc.
70,SRCL,Stericycle Inc.
71,TDC,Teradata Corp.
72,TDG,Transdigm Group Inc.
73,TRIP,Tripadvisor Inc.
74,UA,Under Armour Inc Class C Comm
75,UAA,Under Armour
76,UAL,United Continental Holdings
77,ULTA,Ulta Salon Cosmetic
78,URI,United Rentals
79,VAR,Varian Medical Systems
80,VRSK,Verisk Analytics Inc.
81,VRSN,Verisign Inc.
82,VRTX,Vertex Pharmaceutic
83,WAT,Waters Corp.
